loan_amount,payments_term,monthly_payment,grade,working_years,home,annual_income,verification,purpose,debt_to_income,delinquency,inquiries,open_credit_lines,derogatory_records,revolving_balance,revolving_rate,total_accounts,bankruptcies,fico_average,loan_risk
10000,36 months,325.74,2,8,Rent,39870,Not Verified,home_improvement,19.74,0,2,8,0,6768,36.8,12,0,722,Fully Paid
5000,36 months,162.73,2,2,Mortgage,95000,Not Verified,medical,5.79,1,2,15,1,2198,8.6,31,1,707,Fully Paid
15000,36 months,521.97,3,10,Rent,48000,Not Verified,debt_consolidation,18.63,0,1,13,0,12313,88.6,17,0,687,Charged Off
21000,36 months,688.61,2,10,Rent,110000,Verified,debt_consolidation,11,0,2,5,0,33974,88.9,36,0,747,Fully Paid
10000,36 months,311.1,1,4,Rent,30000,Not Verified,other,5.4,0,0,7,0,5270,24.3,16,0,752,Fully Paid
4000,60 months,97.17,4,1,Rent,72000,Source Verified,car,22.6,1,2,10,0,580,5.3,17,0,672,Fully Paid
12000,36 months,381.26,1,10,Mortgage,60500,Source Verified,credit_card,7.78,0,1,16,0,12893,14.1,33,0,762,Fully Paid
8000,36 months,266.52,2,2,Mortgage,72000,Not Verified,debt_consolidation,21.73,0,0,10,0,25449,69.3,30,0,692,Fully Paid
5000,36 months,170.52,3,2,Mortgage,80000,Not Verified,home_improvement,6.87,0,2,6,0,1577,22.5,13,0,672,Fully Paid
35000,60 months,819.3,3,10,Mortgage,100800,Verified,small_business,22.5,0,4,15,0,41,0.7,34,0,782,Fully Paid
6000,36 months,197.83,2,5,Own,37500,Not Verified,debt_consolidation,22.3,0,1,11,0,10909,54.5,22,0,697,Fully Paid
8000,36 months,272.84,3,1,Rent,45000,Not Verified,other,15.73,0,1,7,0,8342,87.8,9,0,682,Fully Paid
5000,36 months,174.85,4,10,Mortgage,80000,Not Verified,home_improvement,16.48,0,1,13,0,12883,87.6,30,0,667,Fully Paid
7500,36 months,252.42,4,3,Rent,59000,Not Verified,debt_consolidation,18.81,0,3,16,1,12195,58.9,44,1,672,Charged Off
2000,36 months,65.61,2,5,Rent,24000,Not Verified,other,21.45,1,3,6,0,560,70,14,0,712,Fully Paid
9500,60 months,214.61,3,10,Mortgage,68000,Not Verified,medical,12.64,0,3,14,0,8280,13.7,31,0,727,Fully Paid
14000,36 months,429.86,1,4,Rent,58000,Verified,credit_card,17.81,0,1,10,0,627,1.4,22,0,772,Fully Paid
11500,60 months,291.59,5,2,Mortgage,47000,Not Verified,credit_card,22.26,3,2,7,0,5468,84.1,41,0,662,Fully Paid
1600,36 months,51.35,2,10,Mortgage,36900,Not Verified,home_improvement,4.1,0,0,3,0,3949,26.9,18,0,722,Fully Paid
7000,36 months,222.41,1,10,Own,149385,Not Verified,other,1.24,0,0,7,0,1330,10.1,20,0,727,Fully Paid
6000,36 months,188.02,1,5,Rent,80000,Not Verified,other,7.75,0,0,10,0,12454,29.8,29,0,757,Fully Paid
12000,36 months,378.76,1,6,Rent,54000,Not Verified,debt_consolidation,8.24,0,0,11,0,13602,38.6,12,0,727,Fully Paid
14500,60 months,373.28,5,2,Mortgage,39300,Not Verified,credit_card,7.42,0,0,8,0,13758,72.8,17,0,677,Charged Off
5000,36 months,167.8,3,1,Own,44400,Not Verified,credit_card,17.03,1,2,8,0,7837,41.2,11,0,672,Fully Paid
