loan_amount,payments_term,monthly_payment,grade,working_years,home,annual_income,verification,purpose,debt_to_income,delinquency,inquiries,open_credit_lines,derogatory_records,revolving_balance,revolving_rate,total_accounts,bankruptcies,fico_average,loan_risk
10800,36 months,372.23,4,10,Own,25100,Not Verified,other,1.96,0,0,5,0,1713,24.1,12,0,677,Fully Paid
6000,36 months,196.75,2,4,Rent,59366,Source Verified,home_improvement,22.88,0,2,3,0,540,36,13,0,712,Fully Paid
10000,36 months,340.76,3,2,Rent,65000,Source Verified,debt_consolidation,18.2,0,0,15,0,13875,37.2,21,0,687,Fully Paid
12000,60 months,308.92,5,8,Mortgage,135000,Not Verified,house,10.31,1,2,9,0,3796,7.5,24,0,672,Charged Off
8000,36 months,273.1,3,1,Own,30000,Not Verified,home_improvement,20.16,0,1,5,0,1923,76.9,6,0,697,Charged Off
35000,60 months,925.54,5,1,Rent,300000,Verified,debt_consolidation,3.85,0,0,5,0,77145,70.7,23,0,707,Fully Paid
33250,36 months,1121.29,3,3,Mortgage,130000,Verified,credit_card,22.21,0,0,18,0,63937,67.3,39,0,737,Fully Paid
20000,36 months,622.04,1,2,Mortgage,170000,Not Verified,home_improvement,15.56,0,1,13,0,2822,21.1,42,0,777,Fully Paid
1600,36 months,55.65,3,2,Own,57068,Not Verified,debt_consolidation,17.49,0,1,8,0,12084,93,13,0,672,Charged Off
17200,60 months,452.74,5,2,Rent,44000,Source Verified,home_improvement,9.95,0,3,4,0,2117,52.9,10,0,707,Fully Paid
12000,36 months,413.71,4,0,Rent,100000,Not Verified,small_business,5.05,0,2,6,0,125,0.4,9,0,767,Fully Paid
8875,60 months,223.01,5,3,Mortgage,30000,Verified,debt_consolidation,21.6,2,2,9,0,8167,66.9,25,0,662,Fully Paid
6000,36 months,186.61,1,2,Mortgage,45000,Not Verified,home_improvement,12.69,0,2,6,0,1891,47.3,18,0,742,Fully Paid
1500,36 months,49.73,2,2,Rent,15600,Not Verified,debt_consolidation,5.08,0,0,5,1,2046,56.8,23,1,687,Fully Paid
10000,36 months,361.88,4,6,Own,98000,Verified,other,14.41,1,2,12,0,63659,53.5,20,0,662,Fully Paid
15000,60 months,338.85,3,2,Mortgage,82800,Source Verified,debt_consolidation,26.62,0,0,13,0,57349,41.3,32,0,737,Fully Paid
5000,36 months,162.21,2,0,Rent,50500,Source Verified,credit_card,19.2,0,1,22,0,5391,49.9,36,0,707,Fully Paid
4000,36 months,136.7,3,5,Rent,78972,Source Verified,other,1.47,0,2,4,0,243,14.3,21,0,682,Fully Paid
12600,60 months,284.7,2,6,Mortgage,72000,Source Verified,major_purchase,24.17,0,2,16,0,38316,56.2,62,0,742,Fully Paid
35000,60 months,790.82,2,2,Mortgage,131000,Verified,home_improvement,6.35,0,0,7,0,0,0,17,0,747,Fully Paid
4000,36 months,133.26,2,0,Rent,24000,Not Verified,credit_card,3.6,0,0,3,0,3155,67.1,7,0,717,Fully Paid
15000,36 months,533.08,4,3,Mortgage,133000,Verified,credit_card,1.38,1,1,6,0,6376,55,29,0,667,Fully Paid
3000,36 months,99.5,2,2,Rent,31200,Not Verified,debt_consolidation,7.35,0,0,7,0,2572,30.3,18,0,687,Fully Paid
16800,36 months,579.02,4,10,Mortgage,54000,Verified,debt_consolidation,24.38,0,3,4,1,1274,39.8,23,1,692,Fully Paid
19750,60 months,488.4,4,5,Mortgage,66500,Verified,debt_consolidation,14.29,0,2,12,0,5888,69.3,29,0,702,Fully Paid
7500,36 months,258.16,5,10,Mortgage,150000,Not Verified,debt_consolidation,26.27,0,2,17,0,91148,95.4,25,0,697,Charged Off
12000,36 months,421.89,5,0,Rent,50004,Not Verified,debt_consolidation,11.33,0,2,13,0,11660,67,17,0,662,Fully Paid
7600,36 months,239.88,1,9,Rent,18000,Verified,vacation,13.67,0,3,5,0,4236,17.9,16,0,767,Charged Off
25000,60 months,645.63,5,0,Mortgage,72000,Verified,home_improvement,9.77,0,1,6,2,6119,43.7,26,0,702,Fully Paid
9600,36 months,319.83,2,2,Rent,80000,Source Verified,debt_consolidation,9.48,0,2,7,0,14612,78.1,8,0,702,Fully Paid
14125,36 months,445.83,1,5,Rent,39000,Source Verified,other,25.72,0,0,11,0,5001,27.2,14,0,727,Fully Paid
6000,36 months,194.62,2,1,Mortgage,37200,Verified,credit_card,11.61,0,0,9,0,5744,21.2,17,0,682,Fully Paid
6000,36 months,189.67,1,10,Mortgage,110000,Not Verified,debt_consolidation,6.43,0,2,6,0,5124,16.8,29,0,742,Fully Paid
10000,36 months,325.74,2,10,Mortgage,104000,Source Verified,debt_consolidation,21.36,0,2,15,0,55617,81.5,35,0,717,Fully Paid
8400,36 months,281.12,2,5,Rent,140000,Not Verified,credit_card,8.36,0,2,13,0,7479,27.8,41,0,697,Fully Paid
22000,36 months,726.3,2,6,Rent,85000,Not Verified,debt_consolidation,19.82,0,3,6,0,36112,71.2,8,0,742,Fully Paid
5000,36 months,164.02,2,10,Own,80000,Not Verified,other,11.07,0,1,6,0,918,35.3,10,0,722,Fully Paid
10000,36 months,312.91,1,10,Mortgage,54000,Not Verified,house,19.07,0,0,16,0,13093,47.7,42,0,732,Fully Paid
12000,36 months,408.51,3,2,Rent,30000,Not Verified,debt_consolidation,18.44,0,0,9,0,10031,83.3,12,0,667,Fully Paid
12000,60 months,242.75,1,10,Mortgage,50000,Not Verified,credit_card,12.55,0,0,6,0,20546,26.4,14,0,772,Fully Paid
20000,36 months,648.92,2,10,Rent,51000,Source Verified,debt_consolidation,15.48,0,0,15,0,17655,28.6,27,0,767,Fully Paid
21250,60 months,531.21,4,0,Rent,40000,Verified,debt_consolidation,21.57,0,0,10,0,13493,48.2,20,0,697,Fully Paid
10000,36 months,311.02,1,5,Mortgage,250000,Verified,home_improvement,11.83,0,0,16,0,31264,64.7,46,0,737,Fully Paid
25000,36 months,806.68,2,9,Mortgage,125000,Verified,debt_consolidation,7.81,0,0,8,0,74179,61.8,22,0,742,Fully Paid
1000,36 months,35.31,4,0,Own,17280,Source Verified,debt_consolidation,22.08,0,0,7,0,4431,70.3,10,0,672,Charged Off
2500,36 months,82.54,2,7,Mortgage,120000,Not Verified,car,14.51,0,2,9,0,53094,91.2,27,0,712,Fully Paid
5500,36 months,171.06,1,3,Rent,48000,Not Verified,credit_card,4.78,0,0,4,0,5821,23.9,5,0,762,Fully Paid
10000,36 months,308.41,1,10,Mortgage,50000,Not Verified,car,20.3,0,0,17,0,14154,23.3,32,0,752,Fully Paid
12000,60 months,263.86,2,10,Mortgage,55200,Not Verified,debt_consolidation,10.57,0,1,8,0,9652,26.7,15,0,757,Fully Paid
16000,36 months,564.81,4,10,Rent,86000,Source Verified,debt_consolidation,18.42,0,3,12,0,25714,75,17,0,672,Fully Paid
2400,36 months,72.39,1,7,Mortgage,130000,Source Verified,other,7.78,0,2,12,0,11923,15.1,41,0,787,Fully Paid
24250,36 months,807.53,2,10,Mortgage,106925,Verified,debt_consolidation,17.65,0,0,16,0,81940,35.3,27,0,742,Fully Paid
6000,36 months,194.71,2,0,Rent,38000,Not Verified,debt_consolidation,17.91,0,2,6,0,3718,19.8,12,0,707,Fully Paid
5600,36 months,186.57,2,1,Mortgage,55000,Verified,credit_card,4.36,1,5,6,1,6788,26.7,24,1,702,Charged Off
2000,36 months,68.62,3,1,Mortgage,27600,Source Verified,debt_consolidation,6.74,0,2,4,0,15534,97.1,8,0,707,Fully Paid
20000,36 months,699.69,4,1,Mortgage,115000,Verified,debt_consolidation,17.69,0,1,11,0,28615,94.8,26,0,687,Fully Paid
8000,36 months,248.82,1,5,Rent,36996,Not Verified,debt_consolidation,3.76,0,0,7,0,5071,34.7,24,0,737,Fully Paid
1800,36 months,59.78,2,5,Rent,33195.2,Not Verified,debt_consolidation,12.07,0,0,3,1,3089,88.3,11,1,692,Fully Paid
8000,36 months,263.78,2,0,Rent,79000,Not Verified,debt_consolidation,12.84,0,0,7,0,15864,90.1,15,0,692,Fully Paid
6000,36 months,202.14,3,10,Mortgage,45600,Source Verified,debt_consolidation,12.79,0,1,9,1,7390,84,19,1,682,Fully Paid
17000,36 months,583.26,3,10,Mortgage,74000,Verified,debt_consolidation,8.53,1,1,11,0,6920,69.2,39,0,697,Fully Paid
1400,36 months,42.61,1,2,Mortgage,30000,Source Verified,renewable_energy,1.92,0,0,5,0,3177,20.2,20,0,792,Fully Paid
18000,60 months,244.83,2,7,Rent,70000,Not Verified,debt_consolidation,19.9,0,0,8,0,17883,68.3,36,0,747,Fully Paid
4500,36 months,157.44,4,1,Rent,21600,Source Verified,moving,10.83,0,0,3,0,0,0,5,0,672,Charged Off
19800,36 months,652.78,2,10,Rent,116000,Verified,debt_consolidation,1.29,0,0,7,0,4110,34.5,20,0,767,Fully Paid
10000,36 months,312.82,1,10,Own,45000,Not Verified,home_improvement,11.89,0,0,8,0,11252,39.2,25,0,737,Charged Off
10000,36 months,324.37,2,5,Mortgage,49500,Verified,debt_consolidation,19.73,0,2,15,0,13295,67.5,29,0,687,Fully Paid
18000,36 months,356.35,1,10,Mortgage,75000,Verified,debt_consolidation,12.02,0,1,6,0,11475,33.6,21,0,782,Fully Paid
16000,36 months,433.41,5,8,Mortgage,250000,Source Verified,wedding,13.08,0,4,19,3,99754,96.7,37,0,667,Charged Off
18000,60 months,446.29,4,10,Own,55454,Not Verified,debt_consolidation,17.42,0,1,15,0,11792,39.3,39,0,692,Charged Off
15600,36 months,488.13,1,5,Own,55000,Source Verified,wedding,20.4,0,2,6,0,14963,23.9,18,0,752,Fully Paid
5000,36 months,165.67,2,2,Own,88900,Not Verified,major_purchase,5.66,0,2,8,0,8950,31.1,31,0,702,Charged Off
4000,60 months,82.81,2,8,Mortgage,60000,Not Verified,car,13.76,0,2,8,0,7862,10.7,34,0,772,Fully Paid
10525,36 months,357.73,3,10,Mortgage,48996,Not Verified,debt_consolidation,5.9,0,3,8,0,7887,36,15,0,692,Fully Paid
21600,60 months,553.1,5,1,Mortgage,135000,Verified,home_improvement,11.62,1,1,10,0,20786,78.1,39,0,682,Charged Off
35000,60 months,933.14,5,5,Rent,82000,Verified,small_business,9.15,0,0,4,0,1318,87.9,4,0,707,Charged Off
8000,36 months,242.62,1,3,Own,70000,Not Verified,home_improvement,19.65,0,0,8,0,0,0,22,0,772,Fully Paid
10000,36 months,339.31,3,6,Mortgage,45600,Not Verified,small_business,10.82,3,3,8,0,790,22.6,15,0,687,Fully Paid
16000,36 months,542.79,3,5,Rent,50000,Not Verified,debt_consolidation,21.07,0,1,9,1,11495,76.1,11,1,697,Charged Off
3000,60 months,72.29,4,4,Rent,47028,Verified,other,7.83,2,1,6,0,1715,26.4,25,0,677,Fully Paid
17500,60 months,433.89,4,10,Rent,120000,Verified,major_purchase,12.03,0,0,8,0,12701,96.2,39,0,722,Fully Paid
16000,60 months,388.67,4,10,Rent,58000,Source Verified,debt_consolidation,22.16,0,0,11,1,8687,68.9,18,1,697,Fully Paid
21000,36 months,778.15,6,3,Mortgage,88500,Verified,debt_consolidation,13.86,0,7,12,0,18730,52.2,37,0,662,Charged Off
6200,36 months,195.99,1,1,Rent,60000,Not Verified,other,19.1,0,0,17,0,9367,36.7,27,0,742,Fully Paid
4000,36 months,135.84,4,2,Other,56004,Not Verified,other,8.98,0,2,7,0,1254,96.5,15,0,652,Charged Off
10000,36 months,312.91,1,1,Mortgage,62000,Not Verified,home_improvement,9.08,0,0,23,0,3542,4,41,0,762,Fully Paid
13000,36 months,438.69,3,0,Rent,31200,Not Verified,debt_consolidation,20.62,0,0,8,0,16992,51.2,8,0,697,Fully Paid
10000,36 months,307.04,1,5,Rent,45000,Not Verified,credit_card,26.85,0,0,15,0,10133,70.4,40,0,742,Fully Paid
1200,36 months,37.43,1,4,Mortgage,32000,Not Verified,home_improvement,14.93,0,1,17,0,13271,16.2,49,0,757,Fully Paid
7200,60 months,164.05,3,7,Rent,56000,Source Verified,other,18.17,1,1,13,0,5947,70,21,0,702,Fully Paid
5000,36 months,166.05,2,5,Mortgage,38000,Source Verified,small_business,20.49,1,2,8,0,7351,55,22,0,682,Fully Paid
8000,36 months,281.56,4,5,Rent,28800,Not Verified,medical,3.13,0,0,3,0,0,0,14,0,672,Fully Paid
35000,60 months,805.17,3,10,Rent,120000,Verified,debt_consolidation,6.32,0,1,15,0,2446,4.7,25,0,782,Fully Paid
20000,36 months,652.41,2,8,Mortgage,109000,Verified,small_business,5.39,1,1,10,0,8057,38.2,20,0,742,Fully Paid
4000,36 months,124.41,1,6,Mortgage,83200,Not Verified,home_improvement,18.3,0,0,16,0,39602,46.2,33,0,732,Fully Paid
7500,36 months,165.18,3,1,Rent,160000,Not Verified,other,11.19,0,1,16,0,63353,77,36,0,687,Fully Paid
4800,36 months,146.4,1,8,Own,82729.68,Source Verified,debt_consolidation,14.98,1,2,11,0,10480,23.9,40,0,742,Fully Paid
9500,36 months,317.93,2,1,Rent,57000,Not Verified,debt_consolidation,10.78,0,0,12,0,8300,38.8,25,0,702,Fully Paid
3400,36 months,109.52,2,4,Rent,37500,Not Verified,major_purchase,5.92,0,0,3,0,10036,31.5,6,0,767,Fully Paid
7000,36 months,240.68,4,8,Rent,45000,Not Verified,debt_consolidation,15.25,0,0,8,0,23951,97.4,19,0,677,Charged Off
17000,60 months,222.41,1,8,Mortgage,35000,Not Verified,home_improvement,9.94,0,0,9,0,11,0,28,0,797,Fully Paid
22000,36 months,474.88,1,8,Mortgage,91560,Verified,debt_consolidation,18.28,0,4,15,0,4893,12.7,43,0,747,Fully Paid
15000,36 months,481.42,1,0,Mortgage,30000,Verified,home_improvement,4.08,0,0,11,0,24665,5.3,20,0,817,Fully Paid
22000,60 months,511.79,3,10,Mortgage,41000,Verified,debt_consolidation,24.56,0,3,10,0,17957,53.8,21,0,722,Charged Off
10000,36 months,339.31,3,5,Rent,65000,Not Verified,small_business,6.92,1,2,12,0,14292,69.5,17,0,692,Charged Off
15000,36 months,491.01,2,10,Rent,28000,Not Verified,credit_card,15.86,0,1,10,1,1594,5,15,1,732,Fully Paid
4200,36 months,145.02,3,1,Own,27996,Not Verified,debt_consolidation,9.52,1,0,13,0,6209,62.5,26,0,662,Fully Paid
15000,36 months,497.46,2,7,Rent,67800,Source Verified,major_purchase,10.69,0,2,8,0,9111,27.4,16,0,717,Fully Paid
8000,36 months,276.98,4,4,Mortgage,40777,Source Verified,major_purchase,22.98,0,1,9,0,10146,85.3,13,0,667,Fully Paid
1500,36 months,48.41,2,1,Rent,35000,Not Verified,credit_card,11.07,0,1,9,0,2169,19.4,9,0,722,Fully Paid
5000,36 months,155.9,1,10,Rent,108000,Verified,credit_card,3.33,0,0,3,0,12297,81.4,8,0,737,Fully Paid
11500,36 months,377.25,2,2,Own,145000,Not Verified,debt_consolidation,3.32,0,0,5,0,11484,52,28,0,757,Fully Paid
10000,60 months,256.07,5,2,Rent,60000,Verified,home_improvement,13.86,0,1,13,0,7704,25.9,39,0,712,Fully Paid
20000,36 months,666,2,2,Mortgage,65000,Verified,debt_consolidation,15.1,0,1,6,1,9263,48,16,1,722,Fully Paid
7000,36 months,224.66,1,10,Mortgage,93240,Not Verified,wedding,14.05,0,1,8,0,5265,39.6,31,0,727,Fully Paid
8000,60 months,184.99,3,10,Mortgage,72000,Not Verified,debt_consolidation,7.62,0,1,4,0,15528,97,14,0,722,Fully Paid
8400,36 months,261.34,1,8,Mortgage,27600,Verified,debt_consolidation,12.96,0,0,11,0,3685,12.9,16,0,727,Fully Paid
10000,36 months,317.72,1,4,Mortgage,75000,Not Verified,debt_consolidation,12.64,0,1,10,0,36161,46.4,45,0,737,Fully Paid
2000,36 months,65.09,2,2,Rent,32000,Not Verified,debt_consolidation,24,0,1,5,0,25506,87.1,18,0,722,Charged Off
25000,36 months,866.13,4,3,Mortgage,71328,Not Verified,wedding,8.73,1,1,8,0,8414,24.5,16,0,702,Fully Paid
5000,36 months,163.67,2,0,Own,25000,Not Verified,medical,7.68,1,1,13,0,6472,73.5,19,0,702,Charged Off
6500,36 months,222.99,3,2,Rent,21600,Not Verified,other,15.17,0,0,3,0,1855,23.2,3,0,707,Fully Paid
4800,36 months,154.86,2,10,Mortgage,38628.96,Not Verified,other,16.5,0,1,9,1,9966,57.3,27,1,717,Fully Paid
14400,36 months,494.05,3,10,Mortgage,108060,Not Verified,credit_card,7.7,0,2,11,0,70524,60.4,31,0,682,Fully Paid
5000,36 months,169.01,3,1,Rent,36000,Verified,major_purchase,9.37,2,1,6,0,2481,50.6,16,0,692,Fully Paid
20000,36 months,674.27,3,0,Rent,53004,Source Verified,debt_consolidation,8.87,0,0,9,0,5432,50.8,14,0,692,Fully Paid
5000,36 months,153.52,1,1,Own,30000,Source Verified,wedding,13.76,0,0,7,0,6759,84.5,14,0,737,Fully Paid
7500,36 months,255.57,3,1,Rent,32000,Source Verified,small_business,9.86,1,2,16,0,1805,10.1,26,0,712,Fully Paid
24250,36 months,848.42,4,10,Own,41000,Not Verified,debt_consolidation,10.86,0,4,6,0,12319,98.6,15,0,722,Charged Off
12000,60 months,315.87,5,10,Mortgage,63996,Not Verified,home_improvement,20.81,0,3,6,0,22226,99.2,38,0,697,Charged Off
12000,36 months,365.23,1,4,Rent,53000,Not Verified,credit_card,11.3,0,0,6,0,11871,64.9,25,0,762,Fully Paid
20000,36 months,655.82,2,0,Mortgage,96000,Source Verified,home_improvement,6.86,0,3,7,0,8030,15.7,19,0,757,Fully Paid
8900,36 months,183,1,7,Mortgage,55200,Not Verified,credit_card,3.78,0,0,7,0,7231,48.5,10,0,742,Fully Paid
18000,36 months,629.46,4,10,Mortgage,54000,Source Verified,debt_consolidation,25.58,0,1,25,0,26844,43.8,63,0,722,Fully Paid
25000,36 months,843.08,3,8,Rent,66000,Verified,credit_card,15.69,1,0,6,0,1055,21.1,15,0,712,Fully Paid
19500,60 months,303.77,2,6,Mortgage,45000,Verified,debt_consolidation,10.29,0,0,10,0,16094,36.1,25,0,762,Fully Paid
9600,36 months,315.49,2,3,Mortgage,39996,Not Verified,other,23.52,0,2,9,0,8405,42.6,12,0,717,Charged Off
14000,60 months,302.66,2,0,Mortgage,80004,Not Verified,home_improvement,5.67,0,0,13,0,2042,6.5,31,0,757,Fully Paid
2500,36 months,77.95,1,4,Rent,42228,Source Verified,other,23.22,0,0,9,0,2695,39.3,10,0,702,Charged Off
3000,36 months,97.33,2,1,Rent,30000,Not Verified,debt_consolidation,7.2,0,0,7,0,3656,49.4,7,0,702,Fully Paid
25000,60 months,362.51,3,3,Mortgage,90000,Verified,small_business,10.79,0,1,14,0,9210,25.6,27,0,737,Fully Paid
3000,36 months,93.34,1,7,Own,42000,Not Verified,other,16.66,0,2,8,0,8049,31,19,0,727,Fully Paid
2500,36 months,83.67,2,7,Own,15360,Not Verified,other,20.63,1,1,10,0,1163,14.7,13,0,697,Charged Off
15000,36 months,481.42,1,0,Rent,65000,Not Verified,debt_consolidation,9.62,0,0,7,0,4002,12.4,24,0,797,Fully Paid
25000,60 months,561.44,2,1,Mortgage,57500,Verified,debt_consolidation,19.66,0,0,12,0,21447,41.6,38,0,742,Fully Paid
4000,36 months,145.22,6,2,Rent,19200,Not Verified,credit_card,8.13,0,2,3,0,3090,96.6,4,0,667,Fully Paid
8500,36 months,298.67,3,1,Mortgage,78000,Verified,debt_consolidation,20.14,0,1,7,1,1770,73.7,10,1,672,Charged Off
4000,60 months,95.61,4,2,Rent,38400,Source Verified,moving,21.16,0,3,4,0,663,82.9,7,0,707,Charged Off
5000,60 months,108.69,2,5,Mortgage,45000,Source Verified,car,16.24,0,0,9,0,8652,39.7,18,0,727,Charged Off
7700,60 months,167.38,2,6,Rent,32000,Source Verified,other,15.49,0,0,5,0,4472,43,9,0,742,Fully Paid
6000,60 months,127.49,2,0,Rent,24000,Source Verified,debt_consolidation,10.5,0,0,6,0,9897,55.9,9,0,747,Charged Off
5000,36 months,169.66,3,2,Rent,26400,Not Verified,wedding,22.09,0,2,11,0,19066,69.3,16,0,677,Fully Paid
6000,60 months,146.94,5,1,Mortgage,35000,Source Verified,debt_consolidation,14.54,0,3,9,1,6913,96,19,1,672,Charged Off
10000,36 months,354.99,5,4,Mortgage,82000,Source Verified,small_business,0.86,1,1,4,0,0,0,22,0,682,Fully Paid
12000,36 months,387.15,2,6,Rent,58260,Not Verified,debt_consolidation,8.24,0,2,8,0,13669,33.3,46,0,702,Charged Off
13800,60 months,355.26,5,3,Mortgage,62000,Verified,small_business,4.61,0,0,5,0,868,41.3,11,0,692,Charged Off
5000,60 months,122.79,5,2,Own,48000,Verified,debt_consolidation,9.5,0,0,6,0,2587,95.8,12,0,697,Fully Paid
9950,36 months,300.1,1,10,Mortgage,100000,Not Verified,other,12.94,0,0,14,0,30630,31.6,57,0,772,Fully Paid
1000,36 months,33.21,2,10,Rent,35000,Not Verified,vacation,4.39,0,0,3,0,2731,60.7,4,0,687,Charged Off
13500,36 months,435.61,2,6,Mortgage,36000,Not Verified,debt_consolidation,21.7,0,0,5,0,23592,78.6,14,0,707,Fully Paid
6000,36 months,184.23,1,8,Mortgage,130000,Verified,medical,18.08,0,2,12,0,12839,40.9,46,0,752,Fully Paid
25000,36 months,612.99,2,10,Mortgage,93000,Verified,major_purchase,7.45,0,0,9,0,12566,29.2,18,0,747,Fully Paid
2400,36 months,74.1,1,1,Mortgage,38400,Not Verified,car,3.19,0,0,5,0,2958,33.2,7,0,742,Fully Paid
4000,36 months,124.77,1,8,Rent,50004,Not Verified,debt_consolidation,17.06,0,3,6,0,1950,18.7,21,0,782,Fully Paid
5000,36 months,155.56,1,8,Own,30000,Not Verified,credit_card,18.72,0,0,4,0,3472,28.7,12,0,757,Fully Paid
3000,36 months,104.34,3,8,Mortgage,53000,Source Verified,home_improvement,19.4,1,1,7,0,2074,42.3,30,0,662,Fully Paid
12000,36 months,372.12,1,9,Rent,36000,Source Verified,wedding,4.27,0,0,6,0,5880,49.8,17,0,747,Fully Paid
12000,36 months,397.77,2,4,Rent,110000,Source Verified,debt_consolidation,15.16,0,0,17,0,12904,72.5,34,0,702,Fully Paid
11075,60 months,269.27,4,0,Mortgage,96188,Verified,debt_consolidation,16.22,0,0,12,0,23616,66,28,0,722,Fully Paid
3600,60 months,91.91,4,1,Rent,32000,Verified,debt_consolidation,17.25,0,1,8,0,5944,68.3,19,0,672,Charged Off
3200,36 months,106.28,2,4,Rent,33600,Not Verified,other,14.68,0,0,4,0,2829,91.3,16,0,697,Fully Paid
5000,36 months,171.55,3,4,Mortgage,60500,Verified,debt_consolidation,11.93,1,0,7,0,1421,67.7,17,0,662,Fully Paid
20000,60 months,553.63,7,9,Rent,85000,Verified,debt_consolidation,13.68,0,3,20,0,5362,74.5,24,0,662,Fully Paid
14500,60 months,361.85,5,1,Rent,58000,Not Verified,debt_consolidation,24.39,0,2,11,0,16383,79.5,22,0,672,Fully Paid
12000,60 months,258.82,2,4,Rent,46800,Source Verified,home_improvement,0.38,0,0,4,0,98,0,9,0,807,Charged Off
9200,36 months,320.59,4,1,Mortgage,106000,Source Verified,home_improvement,5.48,0,4,11,0,43141,62.3,15,0,692,Charged Off
2300,36 months,71.01,1,0,Mortgage,64000,Source Verified,other,12.56,1,0,10,0,41952,5.8,24,0,727,Fully Paid
12000,60 months,248.52,1,10,Mortgage,39996,Source Verified,debt_consolidation,5.52,0,0,6,0,6685,66.8,21,0,757,Charged Off
20000,60 months,430.78,2,5,Mortgage,60000,Verified,small_business,8.7,0,0,8,0,504,42,38,0,772,Charged Off
12000,36 months,407.87,3,3,Rent,96000,Verified,debt_consolidation,15.93,0,1,11,0,9061,50.1,24,0,692,Fully Paid
25000,36 months,782.26,1,8,Own,84000,Source Verified,other,19.07,0,1,16,0,26801,40.1,30,0,757,Fully Paid
20000,60 months,535.24,7,10,Mortgage,75000,Source Verified,debt_consolidation,15.31,2,1,6,1,3903,40.2,15,1,667,Charged Off
28000,36 months,876.13,1,8,Mortgage,120000,Verified,debt_consolidation,9.81,0,1,12,0,9835,21.5,29,0,762,Fully Paid
7000,36 months,228.02,2,10,Rent,85000,Source Verified,debt_consolidation,5.22,0,0,8,0,17101,96.1,22,0,722,Fully Paid
3000,60 months,81.15,5,1,Rent,36000,Source Verified,other,8.87,0,1,12,0,3539,80.4,13,0,662,Fully Paid
4200,36 months,136.99,2,2,Mortgage,96000,Not Verified,car,24.93,0,0,22,0,91053,61.2,49,0,687,Fully Paid
7000,60 months,140.8,1,6,Mortgage,60000,Not Verified,debt_consolidation,9.9,0,0,9,0,1596,10.6,16,0,767,Fully Paid
20000,60 months,342.94,5,1,Mortgage,44304,Verified,debt_consolidation,18.47,0,0,6,0,5673,97.8,20,0,692,Charged Off
12000,36 months,368.45,1,10,Mortgage,56000,Not Verified,debt_consolidation,13.65,0,0,7,0,9873,80.3,21,0,737,Fully Paid
17000,36 months,539.65,2,8,Own,110000,Not Verified,debt_consolidation,10.64,1,0,13,0,12557,42,39,0,717,Fully Paid
20000,36 months,682.74,3,4,Mortgage,700000,Not Verified,home_improvement,3.09,0,0,8,0,6960,44.6,14,0,697,Charged Off
7500,36 months,188.99,2,4,Mortgage,80000,Not Verified,other,17.61,0,2,8,1,2930,10.7,36,1,722,Charged Off
1500,36 months,47.23,1,10,Mortgage,52000,Not Verified,home_improvement,12.39,0,0,12,0,26571,33.7,39,0,722,Fully Paid
20000,60 months,444.79,2,10,Mortgage,54000,Verified,debt_consolidation,20.24,0,0,15,0,26424,33.2,28,0,742,Fully Paid
7000,36 months,229.54,2,1,Rent,99000,Not Verified,debt_consolidation,3.13,0,0,4,0,7650,70.8,12,0,692,Fully Paid
5600,36 months,190.18,4,2,Rent,39000,Not Verified,educational,6.77,0,0,4,0,4885,57.5,6,0,657,Charged Off
3200,36 months,110.61,3,0,Rent,23040,Source Verified,credit_card,5.57,0,2,3,0,1671,5,12,0,692,Fully Paid
10000,60 months,232.58,3,5,Mortgage,70000,Not Verified,debt_consolidation,13.87,0,2,7,0,4212,24.8,16,0,707,Fully Paid
21600,60 months,575.88,5,10,Own,72800,Verified,debt_consolidation,13.37,0,1,11,0,21829,74.5,16,0,667,Fully Paid
6000,36 months,208.79,3,10,Rent,49000,Not Verified,debt_consolidation,23.29,0,1,12,0,21477,72.8,18,0,662,Fully Paid
10000,36 months,311.11,1,2,Rent,80000,Not Verified,debt_consolidation,19.56,0,2,13,0,21640,72.2,23,0,737,Charged Off
25000,60 months,569.6,3,2,Mortgage,120000,Verified,home_improvement,14.22,0,2,18,0,11608,14.4,28,0,757,Fully Paid
8000,36 months,258.1,2,2,Mortgage,38000,Not Verified,major_purchase,7.93,0,0,11,0,9891,70.6,40,0,707,Fully Paid
6500,36 months,224.03,4,2,Mortgage,33600,Not Verified,debt_consolidation,13.75,0,6,4,0,4727,47.3,22,0,697,Charged Off
7200,36 months,236.68,3,8,Rent,56052,Verified,home_improvement,19.25,0,1,11,0,3280,29,33,0,707,Fully Paid
7575,36 months,232.31,1,0,Mortgage,81500,Not Verified,debt_consolidation,14.46,0,1,8,0,35373,61.1,30,0,747,Fully Paid
23850,36 months,841.92,4,5,Rent,75000,Verified,debt_consolidation,24.29,0,1,9,0,18117,75.5,16,0,677,Fully Paid
12250,36 months,422.98,3,8,Rent,50000,Not Verified,debt_consolidation,24.46,0,2,13,1,14529,73,26,1,677,Fully Paid
8800,60 months,238.77,7,10,Rent,62400,Verified,debt_consolidation,15.88,0,1,7,0,31334,93.3,24,0,672,Fully Paid
2400,36 months,74.65,1,1,Own,24000,Not Verified,medical,1.6,0,0,3,0,130,1.1,8,0,777,Fully Paid
20675,36 months,667.13,2,10,Mortgage,85500,Verified,debt_consolidation,14.58,0,0,6,0,7576,59.7,13,0,727,Fully Paid
